"stop_id","fermata","descrizione","lat","lon"
833,2598,"Campocroce Cimitero",45.486969,12.051699
834,2599,"Campocroce Cimitero",45.487022,12.051435
835,2600,"Salzano Confalonieri",45.522751,12.093121
836,2601,"Salzano Confalonieri",45.522438,12.092846
837,2602,"Salzano Ponte Grasso",45.525448,12.086735
838,2603,"Salzano Ponte Grasso",45.525864,12.087005
839,2604,"Salzano Civico 70",45.532307,12.08333
840,2605,"Salzano Civico 70",45.532085,12.08276
841,2606,"Salzano Civico 143",45.54108,12.082769
842,2607,"Salzano Civico 143",45.54089,12.082404
843,2608,"Noale Lancerotto",45.547325,12.077973
844,2609,"Noale",45.552982,12.06804
845,2611,"Noale Ongari",45.549011,12.078455
846,2612,"Noale Ongari",45.549339,12.078527
847,2613,"Noale Bacchiglione",45.548267,12.083298
848,2614,"Noale Bacchiglione",45.548512,12.083138
849,2615,"Mestrina Spagnolo",45.547485,12.087913
850,2616,"Mestina Spagnolo",45.54768,12.088133
851,2617,"Robegano Centro",45.54121,12.125
852,2618,"Robegano Centro",45.54155,12.125336
853,2619,"Robegano Monte Grappa",45.54343,12.111552
854,2620,"Robegano Monte Grappa",45.543827,12.111234
855,2621,"Robegano Puccini",45.542206,12.119434
856,2622,"Robegano Puccini",45.542538,12.11917
857,2623,"Noale Zona Industriale",45.545887,12.098993
858,2438,"Borbiago",45.454571,12.152631
859,2439,"Borbiago Boldani",45.453197,12.143913
860,2440,"Borbiago Boldani",45.453442,12.143759
861,2441,"Mira San Monte",45.456142,12.132495
862,2442,"Mira San Monte",45.456371,12.132435
863,2443,"Caltana Sottopasso",45.463009,12.122021
864,2444,"Marano Sottopasso",45.462887,12.122078
865,2445,"Romea Giare",45.402668,12.149469
